NP_387882.1	BSU00010	dnaA
NP_390072.1	BSU21890	hdhQ
NP_390073.1	BSU21900	bsaA
NP_390074.2	BSU21910	metAA
NP_390075.1	BSU21920	ugtP
YP_009513973.1	BSU21925	NODATA
NP_390076.1	BSU21930	cspD
NP_390077.1	BSU21940	degR
NP_390078.1	BSU21950	ypzA
NP_390079.1	BSU21960	ypeQ
NP_390080.2	BSU21970	ypeP
NP_390081.1	BSU21980	queP
NP_390082.1	BSU21990	ypdQ
YP_054584.1	BSU22000	sspL
NP_390083.1	BSU22010	exnP
YP_003097753.1	BSU22019	ypzF
NP_390084.1	BSU22020	ypbS
NP_390085.1	BSU22030	dynA
YP_009513974.1	BSU22036	fbpC
NP_390086.1	BSU22040	bpsB
NP_390087.1	BSU22050	bpsA
NP_390088.1	BSU22060	pbuX
NP_390089.1	BSU22070	xpt
NP_390090.1	BSU22080	ypwA
NP_390091.1	BSU22090	kdgT
NP_390092.1	BSU22100	kdgA
NP_390093.1	BSU22110	kdgK
NP_390094.1	BSU22120	kdgR
NP_390095.1	BSU22130	kduI
NP_390096.1	BSU22140	kduD
NP_390097.1	BSU22150	ypvA
NP_390098.1	BSU22160	yptA
YP_003097754.1	BSU22169	ypzG
NP_390099.1	BSU22170	rlmKB
NP_390100.1	BSU22180	gpsB
NP_390101.2	BSU22190	ypsA
NP_390102.1	BSU22200	cotD
YP_009513975.1	BSU22205	NODATA
NP_390103.1	BSU22210	yprB
NP_390104.1	BSU22220	yprA
NP_390105.1	BSU22230	ypqE
NP_390106.1	BSU22240	ypqA
NP_390107.1	BSU22250	yppG
NP_390108.1	BSU22260	yppF
NP_390109.1	BSU22270	yppE
NP_390110.1	BSU22280	yppD
YP_054585.1	BSU22290	sspM
NP_390111.1	BSU22300	yppC
NP_390112.1	BSU22310	recU
NP_390113.1	BSU22320	ponA
NP_390114.1	BSU22330	ypoC
NP_390115.1	BSU22340	nth
NP_390116.1	BSU22350	dnaD
NP_390117.1	BSU22360	asnS
NP_390118.1	BSU22370	aspB
NP_390119.1	BSU22380	tseB
NP_390120.1	BSU22390	ypmA
NP_390121.1	BSU22400	dinG
NP_390122.1	BSU22410	panD
NP_390123.1	BSU22420	panC
NP_390124.1	BSU22430	panB
NP_390125.1	BSU22440	birA
NP_390126.1	BSU22450	cca
NP_390127.1	BSU22460	bshA
NP_390128.2	BSU22470	bshBA
NP_390129.1	BSU22480	mgsA
NP_390130.1	BSU22490	dapB
NP_390131.1	BSU22500	ypjD
NP_390132.2	BSU22510	ypjC
NP_390133.1	BSU22520	ypjB
NP_390134.1	BSU22530	ypjA
NP_390135.1	BSU22540	qcrC
NP_390136.1	BSU22550	qcrB
NP_390137.1	BSU22560	qcrA
NP_390138.1	BSU22570	ypiF
NP_390139.1	BSU22580	ypiB
NP_390140.1	BSU22590	ypiA
NP_390141.1	BSU22600	aroA
NP_390142.1	BSU22610	tyrA
NP_390143.2	BSU22620	hisC
NP_390144.1	BSU22630	trpA
NP_390145.2	BSU22640	trpB
NP_390146.3	BSU22650	trpF
NP_390148.2	BSU22670	trpD
NP_390149.1	BSU22680	trpE
NP_390150.1	BSU22690	aroH
NP_390151.1	BSU22700	aroB
NP_390152.3	BSU22710	aroF
NP_390153.2	BSU22720	cheR
NP_390154.1	BSU22730	ndk
NP_390155.1	BSU22740	hepT
NP_390156.1	BSU22750	menG
NP_390157.1	BSU22760	hepS
NP_390158.1	BSU22770	mtrB
NP_390159.1	BSU22780	folEA
NP_390160.1	BSU22790	hbs
NP_390161.1	BSU22800	spoIVA
NP_390162.1	BSU22810	yphF
NP_390163.1	BSU22820	yphE
NP_390164.1	BSU22830	gpsA
NP_390165.1	BSU22840	der
YP_003097755.1	BSU22849	ypzH
NP_390166.1	BSU22850	yphB
NP_390167.1	BSU22860	yphA
YP_003097756.2	BSU22869	ypzI
NP_390168.3	BSU22870	fni
NP_390169.1	BSU22880	rpfA
NP_390170.1	BSU22890	cmk
NP_390171.1	BSU22900	ypfB
NP_390172.1	BSU22910	dgrA
NP_390173.1	BSU22920	sleC
NP_390174.1	BSU22930	sleB
NP_390175.1	BSU22940	prsW
NP_390176.2	BSU22950	ypdA
NP_390177.2	BSU22960	gudB
NP_390178.1	BSU22970	mecB
NP_390179.1	BSU22980	ypbG
NP_390180.1	BSU22990	ypbF
NP_390181.1	BSU23000	ypbE
NP_390182.1	BSU23010	ypbD
NP_390183.1	BSU23020	recS
NP_390184.1	BSU23030	gmmB
NP_390185.1	BSU23040	fer
NP_390186.1	BSU23050	fmnP
NP_390188.2	BSU23070	serA
NP_390189.1	BSU23080	aroC
NP_390190.2	BSU23090	rsiX
NP_390191.2	BSU23100	sigX
NP_390192.1	BSU23110	resE
NP_390193.2	BSU23120	resD
NP_390194.2	BSU23130	resC
NP_390195.1	BSU23140	resB
NP_390196.2	BSU23150	resA
NP_390197.2	BSU23160	rluB
NP_390198.2	BSU23170	spmB
NP_390199.1	BSU23180	spmA
NP_390200.1	BSU23190	dacB
NP_390201.1	BSU23200	ypuI
NP_390202.1	BSU23210	spcB
NP_390203.1	BSU23220	scpA
NP_390204.1	BSU23230	ypuF
NP_390205.1	BSU23240	ypzK
NP_390206.1	BSU23250	ribH
NP_390207.1	BSU23260	ribBA
NP_390208.1	BSU23270	ribE
NP_390209.1	BSU23280	ribD
NP_390211.1	BSU23300	ypuD
NP_390212.1	BSU23310	sipS
NP_390213.1	BSU23320	ypzC
YP_003097757.1	BSU23328	ypzJ
NP_390215.1	BSU23340	ypuB
NP_390216.1	BSU23350	ypzD
NP_390217.1	BSU23360	ppiB
NP_390218.1	BSU23370	ypuA
NP_390219.1	BSU23380	lysA
NP_390220.2	BSU23390	spoVAF
YP_003097758.1	BSU23401	spoVAEA
YP_003097759.1	BSU23402	spoVAEB
NP_390222.1	BSU23410	spoVAD
NP_390223.1	BSU23420	spoVAC
NP_390224.1	BSU23430	spoVAB
NP_390225.2	BSU23440	spoVAA
NP_390226.1	BSU23450	sigF
NP_390227.1	BSU23460	spoIIAB
NP_390228.1	BSU23470	spoIIAA
NP_390229.1	BSU23480	dacF
NP_390230.1	BSU23490	pupG
NP_390231.2	BSU23500	deoB
NP_390232.2	BSU23510	ripX
YP_003097760.1	BSU23519	yqzK
NP_390233.2	BSU23520	fur
NP_390234.1	BSU23530	spoIIM
NP_390235.1	BSU23540	yqkK
NP_390236.1	BSU23550	mleA
NP_390237.1	BSU23560	mleN
NP_390238.2	BSU23570	ansB
NP_390239.1	BSU23580	ansA
NP_390240.1	BSU23590	ansR
NP_390241.2	BSU23600	yqxK
NP_390242.1	BSU23610	nudF
YP_009513976.1	BSU23616	mciZ
NP_390243.1	BSU23620	yqkF
NP_390244.1	BSU23630	yqkE
NP_390245.1	BSU23640	yqkD
NP_390246.1	BSU23650	yqkC
NP_390247.1	BSU23660	yqkB
NP_390248.1	BSU23670	yqkA
NP_390249.1	BSU23680	yqjZ
NP_390250.1	BSU23690	yqjY
NP_390251.1	BSU23700	yqjX
NP_390252.1	BSU23710	polYB
NP_390253.1	BSU23720	yqzH
NP_390254.2	BSU23730	yqjV
NP_390255.2	BSU23740	yqjU
NP_390256.1	BSU23750	yqjT
NP_390257.2	BSU23760	coaA
NP_390258.2	BSU23770	dsdA
NP_390259.1	BSU23780	yqjQ
NP_390260.1	BSU23790	yqjP
NP_390261.1	BSU23800	proI
NP_390262.2	BSU23810	yqjN
NP_390263.1	BSU23820	yqjM
NP_390264.1	BSU23830	yqjL
NP_390265.1	BSU23840	rnz
NP_390266.2	BSU23850	zwf
NP_390267.2	BSU23860	gndA
NP_390268.2	BSU23870	polYA
YP_054586.1	BSU23880	mifM
NP_390269.1	BSU23890	oxaAB
NP_390270.3	BSU23900	yqjF
NP_390271.2	BSU23910	yqjE
NP_390272.2	BSU23920	yqjD
NP_390273.2	BSU23930	yqjC
NP_390274.1	BSU23940	yqjB
NP_390275.2	BSU23950	yqjA
NP_390276.1	BSU23960	artR
NP_390277.1	BSU23970	artQ
NP_390278.1	BSU23980	artP
NP_390279.1	BSU23990	brxB
NP_390280.2	BSU24000	bmrU
NP_390281.2	BSU24010	bmr
NP_390282.2	BSU24020	bmrR
NP_390283.1	BSU24030	bkdB
NP_390284.1	BSU24040	bkdAB
NP_390285.1	BSU24050	bkdAA
NP_390286.2	BSU24060	lpdV
NP_390287.2	BSU24070	buk
NP_390288.1	BSU24080	bcd
NP_390289.2	BSU24090	ptb
NP_390290.1	BSU24100	bkdR
NP_390291.1	BSU24110	yqzF
NP_390292.1	BSU24120	mmgF
NP_390293.2	BSU24130	mmgE
NP_390294.1	BSU24140	mmgD
NP_390295.2	BSU24150	mmgC
NP_390296.2	BSU24160	mmgB
NP_390297.1	BSU24170	mmgA
NP_390298.2	BSU24180	glpQ
NP_390299.2	BSU24190	yqiI
NP_390300.2	BSU24200	yqiH
YP_009513977.1	BSU24205	NODATA
NP_390301.1	BSU24210	yqiG
NP_390302.1	BSU24220	spo0A
NP_390303.2	BSU24230	spoIVB
NP_390304.2	BSU24240	recN
NP_390305.1	BSU24250	argR
NP_390306.2	BSU24260	yqxC
NP_390307.1	BSU24270	dxs
NP_390308.2	BSU24280	ispA
NP_390309.2	BSU24290	xseB
NP_390310.2	BSU24300	xseA
NP_390311.1	BSU24310	folD
NP_390312.2	BSU24320	nusB
NP_390313.2	BSU24330	yqhY
NP_390314.2	BSU24340	accC
NP_390315.1	BSU24350	accB
NP_390316.2	BSU24360	spoIIIAH
NP_390317.2	BSU24370	spoIIIAG
NP_390318.1	BSU24380	spoIIIAF
NP_390319.2	BSU24390	spoIIIAE
NP_390320.1	BSU24400	spoIIIAD
NP_390321.1	BSU24410	spoIIIAC
NP_390322.1	BSU24420	spoIIIAB
NP_390323.1	BSU24430	spoIIIAA
NP_390324.1	BSU24440	yqhV
NP_390325.2	BSU24450	efp
NP_390326.1	BSU24460	papA
NP_390327.1	BSU24470	yqhS
NP_390328.1	BSU24480	yqhR
NP_390329.2	BSU24490	yqhQ
NP_390330.1	BSU24500	yqhP
NP_390331.1	BSU24510	yqhO
NP_390332.2	BSU24520	mntR
NP_390333.1	BSU24530	lipM
NP_390334.2	BSU24540	yqhL
NP_390335.1	BSU24550	gcvPB
NP_390336.2	BSU24560	gcvPA
NP_390337.2	BSU24570	gcvT
NP_390338.1	BSU24580	yqhH
NP_390339.1	BSU24590	yqhG
NP_390340.1	BSU24600	sinI
NP_390341.1	BSU24610	sinR
NP_390342.1	BSU24620	tasA
NP_390343.1	BSU24630	sipW
NP_390344.1	BSU24640	tapA
NP_390345.1	BSU24650	yqzG
NP_390346.2	BSU24660	spoIIT
NP_390347.1	BSU24670	comGG
NP_390348.1	BSU24680	comGF
NP_390349.1	BSU24690	comGE
NP_390350.1	BSU24700	comGD
NP_390351.1	BSU24710	comGC
NP_390352.1	BSU24720	comGB
NP_390353.1	BSU24730	comGA
NP_390354.1	BSU24740	yqxL
NP_390355.1	BSU24750	yqhB
NP_390356.2	BSU24760	rsbRD
NP_390357.2	BSU24770	mgsR
NP_390358.1	BSU24780	yqgY
NP_390359.1	BSU24790	yqgX
NP_390360.1	BSU24800	yqgW
NP_390361.2	BSU24810	yqgV
NP_390362.2	BSU24820	yqgU
NP_390363.1	BSU24830	yqgT
NP_390364.2	BSU24840	ltaSC
NP_390365.2	BSU24850	glcK
NP_390366.1	BSU24860	yqgQ
NP_390367.2	BSU24870	glpG
NP_390368.1	BSU24880	yqgO
NP_390369.1	BSU24890	folN
NP_570908.2	BSU24900	rpmGA
NP_390370.2	BSU24910	yqgM
NP_390371.1	BSU24920	yqgL
NP_390372.1	BSU24930	yqzD
NP_390373.2	BSU24940	yqzC
NP_390374.1	BSU24950	pstBB
NP_390375.1	BSU24960	pstBA
NP_390376.2	BSU24970	pstA
NP_390377.2	BSU24980	pstC
NP_390378.1	BSU24990	pstS
NP_390379.1	BSU25000	pbpA
NP_390380.2	BSU25010	yqgE
NP_390381.3	BSU25020	sodA
NP_390382.1	BSU25030	yqgC
NP_390383.2	BSU25040	yqgB
NP_390384.2	BSU25050	yqgA
NP_390385.1	BSU25060	yqfZ
NP_390386.1	BSU25070	ispG
NP_390387.1	BSU25080	yqfX
NP_390388.1	BSU25090	yqfW
NP_390389.2	BSU25100	zur
NP_390390.2	BSU25110	yqfU
NP_390391.1	BSU25120	yqfT
NP_390392.1	BSU25130	nfo
NP_390393.1	BSU25140	cshB
NP_390394.1	BSU25150	yqfQ
NP_390395.2	BSU25160	ispH
NP_390396.1	BSU25170	yqfO
NP_390397.1	BSU25180	trmK
NP_390398.1	BSU25190	cccA
NP_390399.2	BSU25200	sigA
NP_390400.2	BSU25210	dnaG
YP_054587.1	BSU25220	antE
NP_390401.2	BSU25230	yqxD
NP_390402.1	BSU25240	ppsR
NP_390403.1	BSU25250	ccpN
NP_390404.2	BSU25260	glyS
NP_390405.1	BSU25270	glyQ
NP_390406.2	BSU25280	recO
YP_003097761.1	BSU25289	yqzL
NP_390407.1	BSU25290	era
NP_390408.1	BSU25300	cdd
NP_390409.2	BSU25310	unpK
NP_390410.2	BSU25320	rnrY
NP_390411.1	BSU25330	pgpH
NP_390412.2	BSU25340	phoH
NP_390413.2	BSU25350	yqfD
NP_390414.1	BSU25360	yqfC
NP_390415.2	BSU25370	yqfB
NP_390416.1	BSU25380	floA
NP_390417.1	BSU25390	nfeDA
NP_390418.1	BSU25400	yqeY
NP_390419.1	BSU25410	rpsU
NP_390420.2	BSU25420	yqeW
NP_390421.1	BSU25430	mtaB
NP_390422.1	BSU25440	rsmE
NP_390423.2	BSU25450	prmA
NP_390424.2	BSU25460	dnaJ
NP_390425.1	BSU25470	dnaK
NP_390426.1	BSU25480	grpE
NP_390427.1	BSU25490	hrcA
NP_390428.2	BSU25500	hemN
NP_390429.1	BSU25510	lepA
NP_390430.1	BSU25520	yqxA
NP_390431.1	BSU25530	spoIIP
NP_390432.1	BSU25540	gpr
NP_390433.2	BSU25550	rpsT
NP_390434.1	BSU25560	holA
YP_009513978.1	BSU25565	NODATA
YP_003097762.1	BSU25569	yqzM
NP_390435.1	BSU25570	comEC
NP_390436.1	BSU25580	comEB
NP_390437.1	BSU25590	comEA
NP_390438.1	BSU25600	comER
NP_390439.1	BSU25610	yqeM
NP_390440.1	BSU25620	rsfS
NP_390441.1	BSU25630	yqeK
NP_390442.1	BSU25640	nadD
NP_390443.1	BSU25650	yqeI
NP_390444.2	BSU25660	aroE
NP_390445.1	BSU25670	rgpH
NP_390446.1	BSU25680	yqeG
YP_054588.1	BSU25690	sda
NP_390447.1	BSU25700	yqeF
NP_390448.1	BSU25710	cwlH
NP_390449.1	BSU25720	yqeD
NP_390450.1	BSU25730	yqeC
NP_390451.2	BSU25740	yqeB
NP_390452.1	BSU25750	nucB
NP_390454.2	BSU25770	spoIVCA
NP_390455.1	BSU25780	arsC
NP_390456.2	BSU25790	arsB
NP_390457.2	BSU25800	yqcK
NP_390458.1	BSU25810	arsR
NP_390459.2	BSU25820	yqcI
NP_390460.2	BSU25830	rapE
NP_390461.1	BSU25840	phrE
NP_390462.1	BSU25850	yqzI
NP_390463.1	BSU25860	rttG
NP_390464.1	BSU25870	rttF
YP_009513979.1	BSU25875	NODATA
NP_390465.1	BSU25880	yqxJ
NP_390466.1	BSU25890	yqxI
NP_390467.1	BSU25900	cwlA
NP_390468.1	BSU25910	yqxH
NP_390469.1	BSU25920	yqxG
NP_390470.1	BSU25930	yqcE
NP_390471.1	BSU25940	yqcD
NP_390472.2	BSU25950	yqcC
NP_390473.1	BSU25960	yqcB
NP_390474.2	BSU25970	yqcA
NP_390475.1	BSU25980	yqbT
NP_390476.1	BSU25990	yqbS
NP_390477.1	BSU26000	yqbR
NP_390478.1	BSU26010	yqbQ
NP_390479.1	BSU26020	yqbP
NP_390480.2	BSU26030	yqbO
NP_390482.1	BSU26050	txpA
YP_009513980.1	BSU26055	bsrH
NP_390483.2	BSU26060	yqbM
NP_390485.2	BSU26075	yqbK
YP_003097763.1	BSU26089	yqzN
NP_390486.2	BSU26090	yqbJ
NP_390487.1	BSU26100	yqbI
NP_390488.1	BSU26110	yqbH
NP_390489.2	BSU26120	yqbG
NP_390490.1	BSU26130	yqbF
NP_390491.2	BSU26140	yqbE
NP_390492.2	BSU26150	yqbD
NP_390493.1	BSU26160	yqbC
NP_390494.1	BSU26170	yqbB
NP_390495.1	BSU26180	yqbA
NP_390496.1	BSU26190	yqaT
NP_390497.1	BSU26200	yqaS
NP_390498.1	BSU26210	yqaR
NP_390499.1	BSU26220	yqaQ
NP_390500.1	BSU26230	yqaP
NP_390501.1	BSU26240	yqaO
NP_390502.1	BSU26250	yqaN
YP_003097764.1	BSU26259	yqzO
NP_390503.3	BSU26260	sknM
NP_390504.2	BSU26270	yqaL
NP_390505.1	BSU26280	yqaK
NP_390506.1	BSU26290	yqaJ
NP_390507.1	BSU26300	yqaI
YP_009513981.1	BSU26305	NODATA
NP_390508.1	BSU26310	sknH
NP_390509.1	BSU26320	yqaG
NP_390510.1	BSU26330	yqdA
NP_390511.1	BSU26340	yqaF
NP_390512.1	BSU26350	sknR
NP_390513.1	BSU26360	yqaD
NP_390514.1	BSU26370	yqaC
NP_390515.1	BSU26380	yqaB
YP_009513982.1	BSU26399	NODATA
NP_390517.1	BSU26400	yrkS
NP_390518.2	BSU26410	psiE
NP_390519.1	BSU26420	yrkQ
NP_390520.1	BSU26430	yrkP
NP_390521.1	BSU26440	yrkO
YP_009513983.1	BSU26449	NODATA
NP_390522.1	BSU26450	yrkN
NP_390524.2	BSU26470	yrkL
NP_390525.2	BSU26480	yrkK
NP_390526.1	BSU26490	yrkJ
NP_390527.1	BSU26500	yrkI
NP_390528.2	BSU26510	yrkH
NP_390530.1	BSU26530	yrkF
NP_390531.1	BSU26540	yrkE
NP_390532.1	BSU26550	yrkD
NP_390533.1	BSU26560	yrkC
YP_009513984.1	BSU26569	NODATA
NP_390534.1	BSU26570	yrkB
NP_390535.1	BSU26580	bltR
NP_390536.1	BSU26590	blt
NP_390537.1	BSU26600	bltD
NP_390538.1	BSU26610	yrkA
YP_003097765.1	BSU26619	yrzO
NP_390539.1	BSU26620	yrdR
NP_390540.1	BSU26630	czcR
NP_390541.1	BSU26640	yrdP
NP_390542.1	BSU26650	czcD
NP_390543.1	BSU26660	yrdN
NP_390544.2	BSU26670	gltR
NP_390545.3	BSU26680	yrdK
NP_390546.1	BSU26690	brnQ
NP_390547.1	BSU26700	azlD
NP_390548.1	BSU26710	azlC
NP_390549.1	BSU26720	azlB
NP_390550.1	BSU26730	yrdF
NP_390551.1	BSU26740	cypA
NP_390553.1	BSU26760	yrdC
NP_390554.1	BSU26770	yrdB
NP_390555.1	BSU26780	yrdA
NP_390556.1	BSU26790	aadK
NP_390557.1	BSU26800	yrpB
NP_390558.1	BSU26810	murI
NP_390559.1	BSU26820	yrpD
YP_009513985.1	BSU26826	yrpDX
YP_009513986.1	BSU26827	NODATA
NP_390560.1	BSU26830	zinT
NP_390561.1	BSU26840	sigZ
NP_390562.2	BSU26850	yrpG
NP_390563.1	BSU26860	yraO
NP_390564.1	BSU26870	yraN
NP_390565.2	BSU26880	prpF
NP_390566.1	BSU26890	csn
NP_390567.1	BSU26900	yraL
NP_390568.2	BSU26910	yraK
NP_390569.2	BSU26920	yraJ
NP_390570.2	BSU26930	yraI
YP_009513987.1	BSU26935	NODATA
NP_390571.1	BSU26940	yraH
NP_390572.1	BSU26950	yraG
NP_390573.1	BSU26960	yraF
NP_390574.2	BSU26970	adhB
NP_390575.1	BSU26980	yraE
NP_390576.1	BSU26990	yraD
NP_390578.2	BSU27000	adhR
YP_009513988.1	BSU27009	yrzP
NP_390579.2	BSU27010	adhA
NP_390580.2	BSU27020	sufL
NP_390581.1	BSU27030	sacC
YP_009513989.1	BSU27035	NODATA
NP_390582.1	BSU27040	levG
NP_390583.1	BSU27050	levF
NP_390584.1	BSU27060	levE
NP_390585.1	BSU27070	levD
NP_390586.2	BSU27080	levR
YP_009513990.1	BSU27085	NODATA
NP_390587.2	BSU27090	aapA
NP_390588.1	BSU27100	yrhP
NP_390589.1	BSU27110	yrhO
NP_390590.1	BSU27120	sigV
NP_390591.1	BSU27130	rsiV
NP_390592.1	BSU27140	oatA
NP_390593.1	BSU27150	yrhK
NP_390594.1	BSU27160	cypB
NP_390595.1	BSU27170	bscR
NP_390596.1	BSU27180	yrhH
YP_009513991.1	BSU27185	NODATA
NP_390597.1	BSU27190	yrzI
NP_390598.1	BSU27200	yrhG
NP_390599.1	BSU27210	yrhF
NP_390600.1	BSU27220	yrhE
NP_390601.1	BSU27230	yrhD
NP_390602.1	BSU27240	yrhC
NP_390603.1	BSU27250	mccB
NP_390604.1	BSU27260	mccA
NP_390605.1	BSU27270	mtnN
NP_390606.1	BSU27280	yrrT
NP_390607.1	BSU27290	yrzA
NP_390608.1	BSU27300	yrrS
NP_390609.1	BSU27310	pbpI
NP_390610.1	BSU27320	greA
NP_390611.1	BSU27330	udk
NP_390612.1	BSU27340	yrrO
NP_390613.1	BSU27350	yrrN
NP_390614.1	BSU27360	yrrM
NP_390615.1	BSU27370	yrrL
NP_390616.1	BSU27380	yrzB
NP_390617.1	BSU27390	rimF
YP_054589.1	BSU27400	yrzL
NP_390618.1	BSU27410	alaS
NP_390619.1	BSU27420	yrrI
NP_390620.1	BSU27430	glnQ
NP_390621.1	BSU27440	glnH
NP_390622.1	BSU27450	glnM
NP_390623.1	BSU27460	glnP
YP_003097766.1	BSU27468	yrzQ
YP_003097767.1	BSU27469	yrzR
NP_390624.1	BSU27470	yrrD
NP_390625.1	BSU27480	recDB
NP_390626.1	BSU27490	yrrB
NP_390627.3	BSU27500	mnmA
NP_390629.2	BSU27510	iscSA
NP_390630.2	BSU27520	cymR
NP_390631.1	BSU27530	rarA
NP_390632.3	BSU27540	tcdA
NP_390633.1	BSU27550	aspS
NP_390634.1	BSU27560	hisS
NP_390635.1	BSU27570	yrzK
NP_390636.1	BSU27580	yrvJ
NP_390637.2	BSU27590	dtd
NP_390638.2	BSU27600	rsh
NP_390639.1	BSU27610	apt
NP_390640.1	BSU27620	recJ
NP_390641.1	BSU27630	yrvD
NP_390642.1	BSU27640	yrvC
NP_390643.1	BSU27650	secDF
NP_390644.1	BSU27660	comN
NP_390645.1	BSU27670	spoVB
NP_390646.1	BSU27680	yrbG
NP_390647.1	BSU27690	yrzE
NP_390648.2	BSU27700	yrbF
NP_390649.1	BSU27710	tgt
NP_390650.1	BSU27720	queA
YP_003097768.1	BSU27729	yrzS
YP_054590.1	BSU27730	ruvB
NP_390652.1	BSU27740	ruvA
NP_390653.1	BSU27750	bofC
NP_390654.2	BSU27760	csbX
NP_390655.1	BSU27770	yrbE
NP_390656.2	BSU27785	yrzF
YP_009513992.1	BSU27786	NODATA
NP_390658.2	BSU27800	yrzH
YP_003097769.1	BSU27809	yrzT
NP_390659.2	BSU27810	alaP
NP_390660.1	BSU27820	yrbC
NP_390661.2	BSU27830	sgpA
NP_390662.1	BSU27840	safA
NP_390663.1	BSU27850	nadA
NP_390664.1	BSU27860	nadC
NP_390665.1	BSU27870	nadB
NP_390666.1	BSU27880	nifS
NP_390667.2	BSU27890	niaR
NP_390668.1	BSU27900	pheA
NP_390669.1	BSU27910	thrR
NP_390670.1	BSU27920	obgE
NP_390671.1	BSU27930	spo0B
YP_009513993.1	BSU27935	NODATA
NP_390672.1	BSU27940	rpmA
NP_390673.2	BSU27950	rppA
NP_390674.1	BSU27960	rplU
NP_390675.1	BSU27970	spoIVFB
NP_390676.1	BSU27980	spoIVFA
NP_390677.1	BSU27990	minD
NP_390678.1	BSU28000	minC
NP_390679.1	BSU28010	mreD
NP_390680.2	BSU28020	mreC
NP_390681.2	BSU28030	mreB
NP_390682.1	BSU28040	ysxA
NP_390683.1	BSU28050	maf
NP_390684.1	BSU28060	spoIIB
NP_390685.2	BSU28070	comC
NP_390686.1	BSU28080	folC
NP_390687.2	BSU28090	valS
YP_003097770.1	BSU28099	yszA
NP_390688.1	BSU28100	cotN
NP_390689.1	BSU28110	spoVID
NP_390690.1	BSU28120	hemL
NP_390691.1	BSU28130	hemB
NP_390692.1	BSU28140	hemD
NP_390693.1	BSU28150	hemC
NP_390694.2	BSU28160	hemX
NP_390695.1	BSU28170	hemA
NP_390696.2	BSU28180	ysxD
NP_390697.1	BSU28190	engB
NP_390698.1	BSU28200	lonA
NP_390699.1	BSU28210	lonB
NP_390700.2	BSU28220	clpX
NP_390701.1	BSU28230	tig
NP_390702.2	BSU28240	ysoA
NP_390703.1	BSU28250	leuD
NP_390704.1	BSU28260	leuC
NP_390705.2	BSU28270	leuB
NP_390706.1	BSU28280	leuA
NP_390707.1	BSU28290	ilvC
NP_390708.2	BSU28300	ilvH
NP_390709.1	BSU28310	ilvB
NP_390710.1	BSU28320	cotQ
NP_390711.1	BSU28330	ysnE
NP_390712.3	BSU28340	ysnF
NP_390713.2	BSU28350	ysnB
NP_390714.1	BSU28360	rdgB
NP_390715.1	BSU28370	rph
NP_390716.1	BSU28380	gerM
NP_390717.2	BSU28390	rcmE
NP_390718.1	BSU28400	ysmB
NP_390719.2	BSU28410	gerE
NP_390720.1	BSU28420	ysmA
NP_390721.1	BSU28430	sdhB
NP_390722.2	BSU28440	sdhA
NP_390723.1	BSU28450	sdhC
NP_390724.1	BSU28460	yslB
NP_390725.1	BSU28470	lysCA
YP_009513994.1	BSU28475	lysCB
NP_390727.2	BSU28490	uvrC
NP_390728.1	BSU28500	trxA
NP_390729.2	BSU28510	abfB
NP_390730.1	BSU28520	etfA
NP_390731.1	BSU28530	etfB
NP_390732.1	BSU28540	fadB
NP_390733.1	BSU28550	fadR
NP_390734.1	BSU28560	lcfA
NP_390735.1	BSU28570	yshE
NP_390736.1	BSU28580	mutSB
NP_390737.1	BSU28590	polX
NP_390738.1	BSU28600	yshB
NP_390739.1	BSU28610	zapA
NP_390740.1	BSU28620	rnhC
NP_390741.1	BSU28630	pheT
NP_390742.1	BSU28640	pheS
YP_009513995.1	BSU28645	NODATA
NP_390743.1	BSU28650	rlmBB
NP_390744.1	BSU28660	sspI
NP_390745.2	BSU28670	ysfB
NP_390746.1	BSU28680	glcD
NP_390747.1	BSU28690	glcF
NP_390748.1	BSU28700	ysfE
YP_009513996.1	BSU28709	NODATA
NP_390749.2	BSU28710	cstA
NP_390750.2	BSU28720	abfA
NP_390751.2	BSU28730	araQ
NP_390752.1	BSU28740	araP
NP_390753.2	BSU28750	araN
NP_390754.1	BSU28760	egsA
NP_390755.1	BSU28770	araL
NP_390756.1	BSU28780	araD
NP_390757.1	BSU28790	araB
NP_390758.2	BSU28800	araA
NP_390759.2	BSU28810	abnA
NP_390760.1	BSU28820	frvX
NP_390761.1	BSU28830	ysdB
NP_390762.1	BSU28840	ysdA
NP_390763.1	BSU28850	rplT
NP_390764.1	BSU28860	rpmI
NP_390765.1	BSU28870	infC
NP_390767.2	BSU28890	yscB
NP_390768.1	BSU28900	pftB
NP_390769.1	BSU28910	pftA
NP_390770.1	BSU28920	lytT
NP_390771.1	BSU28930	lytS
NP_390772.2	BSU28940	ysaA
NP_390773.1	BSU28950	thrS
NP_390774.2	BSU28960	ytxC
NP_390775.1	BSU28970	ytxB
NP_390776.1	BSU28980	dnaI
NP_390777.1	BSU28990	dnaB
NP_390778.1	BSU29000	nrdR
NP_390779.2	BSU29010	speD
NP_390780.1	BSU29020	gapB
NP_390781.1	BSU29030	ytcD
NP_390782.1	BSU29040	ytbD
NP_390783.1	BSU29050	ytbE
NP_390784.1	BSU29060	coaE
NP_390785.2	BSU29070	spcF
NP_390786.2	BSU29080	mutM
NP_390787.1	BSU29090	polA
NP_390788.1	BSU29100	phoR
NP_390789.2	BSU29110	phoP
NP_390790.1	BSU29120	mdh
