NP_459006.1	STM0001	thrL
NP_461407.1	STM2472	maeB
NP_461408.1	STM2473	talA
NP_461409.1	STM2474	tktB
NP_461410.1	STM2475	NODATA
NP_461411.1	STM2476	ypfG
NP_461412.1	STM2477	yffH
NP_461413.1	STM2478	NODATA
NP_461414.1	STM2479	aegA
NP_461415.1	STM2480	narQ
NP_461416.1	STM2481	acrD
NP_461417.1	STM2482	yffB
NP_461418.1	STM2483	dapE
NP_461419.1	STM2484	NODATA
NP_461420.1	STM2485	ypfI
NP_461421.1	STM2486	NODATA
NP_461422.1	STM2487	purC
NP_461423.1	STM2488	nlpB
NP_461424.1	STM2489	dapA
NP_461425.3	STM2490	gcvR
NP_461426.1	STM2491	bcp
NP_461427.1	STM2492	NODATA
NP_461428.1	STM2493	perM
NP_461429.1	STM2494	NODATA
NP_461430.1	STM2495	yfgD
NP_461431.1	STM2496	yfgE
NP_461432.1	STM2497	uraA
NP_461433.1	STM2498	upp
NP_461434.3	STM2499	purM
NP_461435.1	STM2500	purN
NP_461436.1	STM2501	ppk
NP_461437.1	STM2502	ppx
NP_461438.1	STM2503	NODATA
NP_448898.1	STM2504	NODATA
NP_461440.1	STM2505	NODATA
NP_461441.1	STM2506	NODATA
NP_448901.1	STM2507	NODATA
NP_461443.1	STM2508	NODATA
NP_461444.1	STM2509	NODATA
NP_461445.1	STM2510	guaA
NP_461446.1	STM2511	guaB
NP_461447.1	STM2512	xseA
NP_461448.1	STM2513	shdA
NP_461449.1	STM2514	ratB
NP_461450.1	STM2515	ratA
NP_461451.1	STM2516	sinI
NP_461452.1	STM2517	sinH
NP_461453.1	STM2518	yfgJ
NP_461454.1	STM2519	engA
NP_461455.1	STM2520	yfgL
NP_461456.1	STM2521	yfgM
NP_461457.1	STM2522	hisS
NP_461458.1	STM2523	gcpE
NP_461459.1	STM2524	yfgA
NP_461460.1	STM2525	yfgB
NP_461461.1	STM2526	ndk
NP_461462.1	STM2527	NODATA
NP_461463.2	STM2528	NODATA
NP_461464.1	STM2529	NODATA
NP_461465.1	STM2530	NODATA
NP_461466.1	STM2531	pbpC
NP_461467.1	STM2532	NODATA
NP_461468.1	STM2533	sseA
NP_461469.1	STM2534	NODATA
NP_461470.3	STM2535	sseB
NP_461471.1	STM2536	pepB
NP_461472.1	STM2537	yfhJ
NP_461473.1	STM2538	fdx
NP_461474.1	STM2539	hscA
NP_461475.1	STM2540	hscB
NP_461476.1	STM2541	yfhF
NP_461477.1	STM2542	nifU
NP_461478.1	STM2543	nifS
NP_461479.1	STM2544	yfhP
NP_461480.1	STM2545	NODATA
NP_461481.1	STM2546	suhB
NP_461482.1	STM2547	NODATA
NP_461483.1	STM2548	asrA
NP_461484.1	STM2549	asrB
NP_461485.1	STM2550	asrC
NP_461486.1	STM2551	NODATA
NP_461487.1	STM2552	NODATA
NP_461488.1	STM2553	csiE
NP_461489.1	STM2554	hcaT
NP_461490.1	STM2555	glyA
NP_461491.1	STM2556	hmpA
NP_461492.1	STM2557	cadC
NP_461493.1	STM2558	cadB
NP_461494.1	STM2559	cadA
NP_461495.1	STM2560	yjdL
NP_461496.1	STM2561	glnB
NP_461497.1	STM2562	yfhA
NP_461498.1	STM2563	yfhG
NP_461499.1	STM2564	yfhK
NP_461500.1	STM2565	purG
NP_461501.1	STM2566	NODATA
NP_461502.1	STM2567	yfhD
NP_461503.1	STM2568	yfhC
NP_461504.1	STM2569	yfhB
NP_461505.1	STM2570	NODATA
NP_461506.1	STM2571	NODATA
NP_461507.1	STM2572	yfhH
NP_461508.1	STM2573	NODATA
NP_461509.1	STM2574	NODATA
NP_461510.1	STM2575	NODATA
NP_461511.1	STM2576	yfhL
NP_461512.1	STM2577	acpS
NP_461513.1	STM2578	pdxJ
NP_461514.1	STM2579	recO
NP_461515.1	STM2580	era
NP_461516.1	STM2581	rnc
NP_461517.1	STM2582	lepB
NP_461518.1	STM2583	lepA
NP_461519.1	STM2584	gogB
NP_461520.1	STM2585	NODATA
NP_461521.1	STM2585A	NODATA
NP_461522.1	STM2586	NODATA
NP_461523.1	STM2587	NODATA
NP_461524.1	STM2588	NODATA
NP_461525.2	STM2589	NODATA
NP_461526.1	STM2590	NODATA
NP_461527.1	STM2591	NODATA
NP_461528.1	STM2592	NODATA
NP_461529.1	STM2593	NODATA
NP_461530.1	STM2594	NODATA
NP_461531.1	STM2595	NODATA
NP_461532.1	STM2596	NODATA
NP_461533.1	STM2597	NODATA
NP_461534.1	STM2598	NODATA
NP_461535.1	STM2599	NODATA
NP_461536.1	STM2600	NODATA
NP_461537.1	STM2601	NODATA
NP_461538.1	STM2602	NODATA
NP_461539.1	STM2603	NODATA
NP_461540.1	STM2604	NODATA
NP_461541.1	STM2605	NODATA
NP_461542.1	STM2606	NODATA
NP_461543.1	STM2607	NODATA
NP_461544.1	STM2608	NODATA
NP_461545.2	STM2609	NODATA
NP_461546.1	STM2610	NODATA
NP_461547.3	STM2611	NODATA
NP_461548.1	STM2612	NODATA
NP_461549.1	STM2613	NODATA
NP_461550.1	STM2614	NODATA
NP_461551.1	STM2616	NODATA
NP_461552.1	STM2617	NODATA
NP_461553.1	STM2618	NODATA
NP_461554.1	STM2619	NODATA
NP_461555.1	STM2620	NODATA
NP_461556.1	STM2621	NODATA
NP_461557.1	STM2622	NODATA
NP_461558.1	STM2623	NODATA
NP_461559.1	STM2624	NODATA
NP_461560.1	STM2625	NODATA
NP_461561.1	STM2626	NODATA
NP_461562.1	STM2627	NODATA
NP_461563.1	STM2628	NODATA
NP_461564.1	STM2629	NODATA
NP_461565.1	STM2630	NODATA
NP_461566.1	STM2631	NODATA
NP_461567.1	STM2632	NODATA
NP_461568.3	STM2633	NODATA
NP_461569.1	STM2634	NODATA
NP_461570.1	STM2635	NODATA
NP_461571.1	STM2636	NODATA
NP_461572.1	STM2637	rseC
NP_461573.1	STM2638	rseB
NP_461574.1	STM2639	rseA
NP_461575.1	STM2640	rpoE
NP_461576.1	STM2641	nadB
NP_461577.1	STM2642	yfiC
NP_461578.1	STM2643	srmB
NP_461579.1	STM2644	yfiE
NP_461580.1	STM2645	yfiK
NP_461581.1	STM2646	yfiD
NP_461582.1	STM2647	ung
NP_461583.1	STM2648	yfiF
NP_461584.1	STM2649	trxC
NP_461585.1	STM2650	yfiP
NP_461586.1	STM2651	yfiQ
NP_461587.1	STM2652	pssA
NP_461588.1	STM2653	yfiM
NP_461589.1	STM2654	kgtP
NP_461590.1	STM2655	NODATA
NP_461591.1	STM2660	clpB
NP_461592.1	STM2661	yfiH
NP_461593.1	STM2662	rluD
NP_461594.1	STM2663	yfiO
NP_461595.1	STM2665	yfiA
NP_449055.1	STM2666	NODATA
NP_461597.1	STM2667	pheA
NP_461598.1	STM2668	NODATA
NP_461599.1	STM2669	tyrA
NP_461600.1	STM2670	aroF
NP_461601.1	STM2671	yfiR
NP_461602.1	STM2672	yfiN
NP_461603.1	STM2673	rplS
NP_461604.1	STM2674	trmD
NP_461605.1	STM2675	rimM
NP_461606.1	STM2676	rpsP
NP_461607.1	STM2677	ffh
NP_461608.1	STM2678	corE
NP_461609.3	STM2679	yfjD
NP_461610.1	STM2680	NODATA
NP_461611.1	STM2681	grpE
NP_449071.1	STM2682	NODATA
NP_461613.1	STM2683	yfjB
NP_461614.1	STM2684	recN
NP_461615.1	STM2685	smpA
NP_461616.1	STM2686	yfjF
NP_461617.1	STM2687	yfjG
NP_461618.1	STM2688	smpB
NP_461619.1	STM2690	NODATA
NP_461620.1	STM2691	NODATA
NP_461621.1	STM2692	NODATA
NP_461622.1	STM2694	NODATA
NP_461623.1	STM2695	NODATA
NP_461624.1	STM2696	NODATA
NP_461625.1	STM2697	NODATA
NP_461626.1	STM2698	NODATA
NP_461627.1	STM2699	NODATA
NP_461628.1	STM2700	NODATA
NP_461629.1	STM2701	NODATA
NP_461630.1	STM2702	NODATA
NP_461631.1	STM2703	NODATA
NP_461632.1	STM2704	NODATA
NP_461633.1	STM2705	NODATA
NP_461634.1	STM2706	NODATA
NP_461635.1	STM2707	NODATA
NP_461636.1	STM2708	NODATA
NP_461637.1	STM2709	NODATA
NP_461638.1	STM2710	NODATA
NP_461639.1	STM2711	NODATA
NP_461640.1	STM2712	NODATA
NP_461641.1	STM2713	NODATA
NP_461642.1	STM2714	NODATA
NP_461643.3	STM2715	NODATA
NP_461644.1	STM2716	NODATA
NP_461645.1	STM2717	NODATA
NP_461646.1	STM2718	NODATA
NP_461647.1	STM2719	NODATA
NP_461648.1	STM2720	NODATA
NP_461649.1	STM2721	NODATA
NP_461650.1	STM2722	NODATA
NP_461651.1	STM2723	NODATA
NP_461652.3	STM2724	NODATA
NP_461653.1	STM2726	NODATA
NP_461654.1	STM2727	NODATA
NP_461655.1	STM2728	NODATA
NP_461656.1	STM2729	NODATA
NP_461657.1	STM2730	NODATA
NP_461658.1	STM2731	NODATA
NP_461659.1	STM2732	NODATA
NP_461660.1	STM2733	NODATA
NP_461661.1	STM2734	NODATA
NP_461662.1	STM2735	NODATA
NP_461663.1	STM2736	NODATA
NP_461664.1	STM2737	NODATA
NP_461665.1	STM2738	NODATA
NP_461666.1	STM2739	NODATA
NP_461667.1	STM2740	NODATA
NP_461668.1	STM2741	NODATA
NP_461669.1	STM2742	NODATA
NP_461670.1	STM2743	NODATA
NP_461671.1	STM2744	NODATA
NP_461672.1	STM2745	NODATA
NP_461673.1	STM2746	NODATA
NP_461674.1	STM2747	NODATA
NP_461675.1	STM2748	NODATA
NP_461676.1	STM2749	NODATA
NP_461677.1	STM2750	NODATA
NP_461678.1	STM2751	NODATA
NP_461679.1	STM2752	NODATA
NP_461680.1	STM2753	NODATA
NP_461681.1	STM2754	NODATA
NP_461682.1	STM2755	NODATA
NP_461683.1	STM2756	NODATA
NP_461684.1	STM2757	NODATA
NP_461685.1	STM2758	NODATA
NP_461686.1	STM2759	NODATA
NP_461687.1	STM2760	NODATA
NP_461688.1	STM2761	NODATA
NP_461689.1	STM2762	NODATA
NP_449149.1	STM2763	NODATA
NP_449150.1	STM2764	NODATA
NP_461692.1	STM2765	NODATA
NP_461693.1	STM2766	NODATA
NP_461694.1	STM2767	NODATA
NP_461697.1	STM2770	fljA
NP_461698.1	STM2771	fljB
NP_461699.1	STM2772	hin
NP_461700.1	STM2773	iroB
NP_461701.1	STM2774	iroC
NP_461702.1	STM2775	iroD
NP_461703.1	STM2776	iroE
NP_461704.3	STM2777	iroN
NP_449164.1	STM2779	NODATA
NP_461706.1	STM2780	NODATA
NP_461707.1	STM2781	virK
NP_461708.1	STM2782	mig-14
NP_461709.1	STM2783	nxiA
NP_461710.1	STM2784	tctE
NP_461711.1	STM2785	tctD
NP_461712.1	STM2786	NODATA
NP_461713.3	STM2787	NODATA
NP_461714.1	STM2788	NODATA
NP_461715.3	STM2789	NODATA
NP_461716.1	STM2790	ygaF
NP_461717.1	STM2791	gabD
NP_461718.1	STM2792	gabT
NP_461719.1	STM2793	gabP
NP_461720.1	STM2794	ygaE
NP_461721.1	STM2795	ygaU
NP_461722.1	STM2796	yqaE
NP_461723.1	STM2797	NODATA
NP_461724.1	STM2798	ygaP
NP_461725.1	STM2799	stpA
NP_461726.1	STM2800	NODATA
NP_461727.1	STM2801	ygaC
NP_461728.1	STM2802	ygaM
NP_461729.1	STM2803	NODATA
NP_461730.1	STM2804	NODATA
NP_461731.1	STM2805	nrdH
NP_461732.1	STM2806	nrdI
NP_461733.1	STM2807	nrdE
NP_461734.1	STM2808	nrdF
NP_461735.1	STM2809	proV
NP_461736.1	STM2810	proW
NP_461737.1	STM2811	proX
NP_461738.1	STM2812	NODATA
NP_461739.1	STM2813	emrR
NP_461740.1	STM2814	emrA
NP_461741.1	STM2815	emrB
NP_461742.1	STM2816	NODATA
NP_461743.1	STM2817	luxS
NP_461744.1	STM2818	gshA
NP_461745.1	STM2819	yqaA
NP_461746.1	STM2820	yqaB
NP_461747.1	STM2826	csrA
NP_461748.1	STM2827	alaS
NP_461749.1	STM2828	oraA
NP_461750.1	STM2829	recA
NP_461751.1	STM2830	ygaD
NP_461752.1	STM2831	mltB
NP_461753.1	STM2832	srlA
NP_461754.1	STM2833	srlE
NP_461755.1	STM2834	slrB
NP_461756.1	STM2835	srlD
NP_461757.1	STM2836	gutM
NP_461758.1	STM2837	srlR
NP_461759.3	STM2838	gutQ
NP_461760.1	STM2839	ygaA
NP_461761.1	STM2840	NODATA
NP_461762.1	STM2841	ygbD
NP_461763.1	STM2842	hypF
NP_461764.1	STM2843	hydN
NP_461765.1	STM2844	NODATA
NP_461766.1	STM2845	hycI
NP_461767.1	STM2846	hycH
NP_461768.1	STM2847	hycG
NP_461769.1	STM2848	hycF
NP_461770.1	STM2849	hycE
NP_461771.1	STM2850	hycD
NP_461772.2	STM2851	hycC
NP_461773.1	STM2852	hycB
NP_461774.1	STM2853	hycA
NP_461775.1	STM2854	hypA
NP_461776.1	STM2855	hypB
NP_461777.1	STM2856	hypC
NP_461778.2	STM2857	hypD
NP_461779.3	STM2858	hypE
NP_461780.1	STM2859	fhlA
NP_461781.1	STM2860	ygbA
NP_461782.1	STM2861	sitA
NP_461783.1	STM2862	sitB
NP_461784.1	STM2863	sitC
NP_461785.1	STM2864	sitD
NP_461786.1	STM2865	avrA
NP_461787.1	STM2866	sprB
NP_461788.1	STM2867	hilC
NP_461789.1	STM2868	NODATA
NP_461790.1	STM2869	orgA
NP_461791.1	STM2870	NODATA
NP_461792.1	STM2871	prgK
NP_461793.1	STM2872	prgJ
NP_461794.1	STM2873	prgI
NP_461795.1	STM2874	prgH
NP_461796.1	STM2875	hilD
NP_461797.1	STM2876	hilA
NP_461798.1	STM2877	iagB
NP_461799.1	STM2878	sptP
NP_461800.1	STM2879	sicP
NP_449260.1	STM2880	NODATA
NP_461802.1	STM2881	iacP
NP_461803.1	STM2882	sipA
NP_461804.1	STM2883	sipD
NP_461805.1	STM2884	sipC
NP_461806.1	STM2885	sipB
NP_461807.1	STM2886	sicA
NP_461808.1	STM2887	spaS
NP_461809.1	STM2888	spaR
NP_461810.1	STM2889	spaQ
NP_461811.1	STM2890	spaP
NP_461812.1	STM2891	spaO
NP_461813.1	STM2892	invJ
NP_461814.1	STM2893	invI
NP_461815.1	STM2894	invC
NP_461816.1	STM2895	invB
NP_461817.1	STM2896	invA
NP_461818.1	STM2897	invE
NP_461819.1	STM2898	invG
NP_461820.1	STM2899	invF
NP_461821.1	STM2900	invH
NP_461822.1	STM2901	NODATA
NP_461823.1	STM2902	NODATA
NP_461824.1	STM2903	NODATA
NP_461825.1	STM2904	NODATA
NP_461826.1	STM2905	NODATA
NP_449286.1	STM2906	NODATA
NP_461828.1	STM2907	pphB
NP_461829.1	STM2908	NODATA
NP_461830.1	STM2909	mutS
NP_461831.1	STM2910	NODATA
NP_461832.1	STM2911	NODATA
NP_461833.1	STM2912	NODATA
NP_461834.1	STM2913	NODATA
NP_461835.1	STM2914	NODATA
NP_461836.1	STM2915	ygbM
NP_461837.1	STM2916	ygbL
NP_461838.1	STM2917	ygbK
NP_461839.1	STM2918	ygbJ
NP_461840.1	STM2919	ygbI
NP_461841.1	STM2920	NODATA
NP_461842.1	STM2921	NODATA
NP_461843.1	STM2922	NODATA
NP_461844.1	STM2923	NODATA
NP_461845.1	STM2924	rpoS
NP_461846.1	STM2925	nlpD
NP_461847.1	STM2926	pcm
NP_461848.1	STM2927	surE
NP_461849.1	STM2928	ygbO
NP_461850.1	STM2929	ispF
NP_461851.1	STM2930	ispD
NP_461852.1	STM2931	ygbQ
NP_461853.3	STM2932	ygbE
NP_461854.1	STM2933	cysC
NP_461855.1	STM2934	cysN
NP_461856.1	STM2935	cysD
NP_461857.1	STM2936	iap
NP_461858.1	STM2937	ygbF
NP_461859.1	STM2938	NODATA
NP_461860.1	STM2939	ygcH
NP_461861.1	STM2940	NODATA
NP_461862.1	STM2941	yghJ
NP_461863.1	STM2942	NODATA
NP_461864.1	STM2943	NODATA
NP_461865.1	STM2944	ygcB
NP_461866.1	STM2945	sopD
NP_461867.1	STM2946	cysH
NP_461868.1	STM2947	cysI
NP_461869.1	STM2948	cysJ
NP_461870.1	STM2949	ptpS
NP_461871.1	STM2950	NODATA
NP_461872.1	STM2951	ygcF
NP_461873.1	STM2952	eno
NP_461874.1	STM2953	pyrG
NP_461875.1	STM2954	mazG
NP_461876.3	STM2955	NODATA
NP_461877.1	STM2956	relA
NP_461878.1	STM2957	ygcA
NP_461879.1	STM2958	barA
NP_461880.1	STM2959	NODATA
NP_461881.1	STM2960	gudD
NP_461882.1	STM2961	ygcY
NP_461883.1	STM2962	gudT
NP_461884.1	STM2963	NODATA
NP_461885.1	STM2964	yqcB
NP_461886.1	STM2965	yqcC
NP_461887.1	STM2967	syd
NP_461888.1	STM2968	yqcD
NP_461889.1	STM2969	ygdH
NP_461890.1	STM2970	sdaC
NP_461891.2	STM2971	sdaB
NP_461892.3	STM2972	exo
NP_461893.1	STM2973	fucO
NP_461894.1	STM2974	fucA
NP_461895.1	STM2976	fucI
NP_461896.1	STM2977	fucK
NP_461897.1	STM2978	fucU
NP_461898.1	STM2979	fucR
NP_461899.1	STM2980	ygdE
NP_461900.1	STM2981	ygdD
NP_461901.1	STM2982	gcvA
NP_461902.1	STM2983	ygdI
NP_461903.1	STM2984	csdA
NP_461904.1	STM2985	ygdK
NP_461905.3	STM2986	NODATA
NP_461906.1	STM2987	ygdL
NP_461907.1	STM2988	mltA
NP_461908.1	STM2991	amiC
NP_461909.1	STM2992	argA
NP_461910.1	STM2993	recD
NP_461911.1	STM2994	recB
NP_461912.1	STM2995	ptr
NP_461913.2	STM2996	recC
NP_461914.1	STM2997	ppdC
NP_461915.1	STM2998	ygdB
NP_461916.1	STM2999	ppdB
NP_461917.1	STM3000	ppdA
NP_461918.1	STM3001	thyA
NP_461919.1	STM3002	lgt
NP_461920.1	STM3003	ptsP
NP_461921.1	STM3004	ygdP
NP_461922.1	STM3005	mutH
NP_461923.1	STM3006	ygdQ
NP_461924.1	STM3007	ygdR
NP_461925.1	STM3008	tas
NP_461926.1	STM3009	ygeD
NP_461927.1	STM3010	aas
NP_461928.1	STM3011	galR
NP_461929.1	STM3012	NODATA
NP_461930.1	STM3013	lysA
NP_461931.1	STM3014	lysR
NP_461932.1	STM3015	ygeA
NP_461933.1	STM3016	araE
NP_461934.1	STM3017	kduD
NP_461935.1	STM3018	kduI
NP_461936.1	STM3019	yqeF
NP_461937.1	STM3020	NODATA
NP_461938.1	STM3021	NODATA
NP_461939.1	STM3022	NODATA
NP_461940.1	STM3023	yohL
NP_461941.1	STM3024	yohM
NP_461942.1	STM3025	NODATA
NP_461943.1	STM3026	NODATA
NP_461944.1	STM3027	stdC
NP_461945.1	STM3028	stdB
NP_461946.3	STM3029	stdA
NP_461947.1	STM3030	NODATA
NP_461948.1	STM3031	NODATA
NP_461949.1	STM3032	tnpA_4
NP_461950.1	STM3033	NODATA
NP_461951.1	STM3034	NODATA
NP_449411.1	STM3035	NODATA
NP_461953.1	STM3036	NODATA
NP_461954.1	STM3038	NODATA
NP_461955.1	STM3039	idi
NP_461956.1	STM3040	lysS
NP_461957.3	STM3041	prfB
NP_461958.1	STM3042	recJ
NP_461959.1	STM3043	dsbC
NP_461960.1	STM3044	xerD
NP_461961.1	STM3045	fldB
NP_461962.1	STM3046	ygfX
NP_461963.1	STM3047	ygfY
NP_461964.1	STM3048	ygfZ
NP_461965.1	STM3049	yqfA
NP_461966.1	STM3050	yqfB
NP_461967.1	STM3051	bglA
NP_461968.1	STM3052	NODATA
NP_461969.1	STM3053	gcvP
NP_461970.1	STM3054	gcvH
NP_461971.1	STM3055	gcvT
NP_461972.1	STM3056	visC
NP_461973.2	STM3057	ubiH
NP_461974.1	STM3058	pepP
NP_461975.3	STM3059	ygfB
NP_461976.1	STM3060	ygfE
NP_461977.1	STM3061	ygfA
NP_461978.1	STM3062	serA
NP_461979.1	STM3063	rpiA
NP_461980.1	STM3064	iciA
NP_461981.1	STM3065	yggE
NP_461982.1	STM3066	yggA
NP_461983.1	STM3067	yggB
NP_461984.1	STM3068	fba
NP_461985.1	STM3069	pgk
NP_461986.1	STM3070	epd
NP_461987.1	STM3071	NODATA
NP_461988.1	STM3072	NODATA
NP_461989.1	STM3073	NODATA
NP_461990.1	STM3074	NODATA
NP_461991.1	STM3075	NODATA
NP_461992.1	STM3076	tktA
NP_461993.1	STM3077	yggG
NP_461994.1	STM3078	speB
NP_461995.3	STM3079	NODATA
NP_461996.1	STM3080	NODATA
NP_461997.1	STM3081	NODATA
NP_461998.1	STM3082	NODATA
NP_461999.1	STM3083	NODATA
NP_462000.3	STM3084	NODATA
NP_462001.1	STM3085	NODATA
NP_462002.1	STM3086	speA
NP_462003.1	STM3087	yqgB
NP_452414.1	STM3088	yqgC
NP_462005.1	STM3089	yqgD
NP_462006.1	STM3090	metK
NP_462007.1	STM3091	galP
NP_462008.1	STM3092	sprT
NP_462009.1	STM3093	endA
NP_462010.3	STM3094	yggJ
NP_462011.1	STM3095	gshB
NP_462012.1	STM3096	yqgE
NP_462013.1	STM3097	yqgF
NP_462014.1	STM3098	NODATA
NP_462015.1	STM3099	yggR
NP_462016.1	STM3100	yggS
NP_462017.1	STM3101	yggT
NP_462018.1	STM3102	yggU
NP_462019.1	STM3103	yggV
NP_462020.1	STM3104	yggW
NP_462021.1	STM3105	yggM
NP_462022.1	STM3106	ansB
NP_462023.1	STM3107	yggN
NP_462024.1	STM3108	yggL
NP_462025.1	STM3109	yggH
NP_462026.1	STM3110	mutY
NP_462027.1	STM3111	yggX
NP_462028.1	STM3112	mltC
NP_462029.1	STM3113	nupG
NP_462030.1	STM3114	speC
NP_462031.1	STM3115	yqgA
NP_462032.1	STM3117	NODATA
NP_462033.1	STM3118	NODATA
NP_462034.1	STM3119	NODATA
NP_462035.1	STM3120	NODATA
NP_462036.1	STM3121	NODATA
NP_462037.1	STM3122	NODATA
NP_462038.1	STM3123	NODATA
NP_462039.1	STM3124	NODATA
NP_462040.1	STM3125	NODATA
NP_462041.1	STM3126	NODATA
NP_462042.1	STM3127	NODATA
NP_462043.1	STM3128	NODATA
NP_462044.1	STM3129	NODATA
NP_462045.1	STM3130	NODATA
NP_462046.1	STM3131	NODATA
NP_462047.1	STM3132	NODATA
NP_462048.1	STM3133	NODATA
NP_462049.1	STM3134	NODATA
NP_462050.1	STM3135	NODATA
NP_462051.1	STM3136	NODATA
NP_462052.1	STM3137	NODATA
NP_462053.1	STM3138	NODATA
NP_462054.1	STM3139	gsp
NP_462055.1	STM3140	yghU
NP_462056.1	STM3141	NODATA
NP_462057.1	STM3142	NODATA
NP_462058.1	STM3143	hybG
NP_462059.1	STM3144	hybF
NP_462060.1	STM3145	hybE
NP_462061.1	STM3146	hybD
NP_462062.1	STM3147	hybC
NP_462063.1	STM3148	hybB
NP_462064.1	STM3149	hybA
NP_462065.1	STM3150	hypO
NP_462066.1	STM3151	yghW
NP_462067.1	STM3152	NODATA
NP_462068.1	STM3153	yqhA
NP_462069.1	STM3154	NODATA
NP_462070.1	STM3155	NODATA
NP_462071.1	STM3156	NODATA
NP_462072.1	STM3157	yghA
NP_462073.1	STM3158	exbD
NP_462074.1	STM3159	exbB
NP_462075.1	STM3160	NODATA
NP_462076.1	STM3161	metC
NP_462077.1	STM3162	yghB
NP_462078.1	STM3163	yqhC
NP_462079.1	STM3164	yqhD
NP_462080.1	STM3165	yqhE
NP_462081.3	STM3166	NODATA
NP_462082.1	STM3167	NODATA
NP_462083.1	STM3168	ygiR
NP_462084.1	STM3169	NODATA
NP_462085.1	STM3170	NODATA
NP_462086.1	STM3171	ygiK
NP_462087.1	STM3172	sufI
NP_462088.1	STM3173	plsC
NP_462089.1	STM3174	parC
NP_462090.1	STM3175	NODATA
NP_462091.1	STM3176	ygiW
NP_462092.1	STM3177	ygiX
NP_462093.1	STM3178	ygiY
NP_462094.1	STM3179	mdaB
NP_462095.1	STM3180	ygiN
NP_462096.1	STM3181	parE
NP_462097.1	STM3182	yqiA
NP_462098.1	STM3183	icc
NP_462099.1	STM3184	yqiB
NP_462100.1	STM3185	yqiE
NP_462101.3	STM3186	tolC
NP_462102.1	STM3187	ygiB
NP_462103.1	STM3188	ygiC
NP_462104.1	STM3189	ygiD
NP_462105.1	STM3190	ygiE
NP_452516.1	STM3191	NODATA
NP_452517.1	STM3192	NODATA
NP_462108.1	STM3193	NODATA
NP_462109.1	STM3194	NODATA
NP_462110.1	STM3195	ribB
NP_462111.3	STM3196	yqiC
NP_462112.1	STM3197	glgS
NP_462113.1	STM3198	NODATA
NP_462114.1	STM3199	yqiK
NP_462115.1	STM3200	rfaE
NP_462116.1	STM3201	glnE
NP_462117.1	STM3202	ygiF
NP_462118.1	STM3203	ygiM
NP_462119.1	STM3204	cca
NP_462120.3	STM3205	bacA
NP_462121.3	STM3206	folB
NP_462122.1	STM3207	ygiH
NP_462123.1	STM3208	gcp
NP_462124.1	STM3209	rpsU
NP_462125.1	STM3210	dnaG
NP_462126.3	STM3211	rpoD
NP_462127.1	STM3212	mug
NP_462128.1	STM3214	yqjH
NP_462129.1	STM3215	yqjI
NP_462130.1	STM3216	NODATA
NP_462131.1	STM3217	aer
NP_462132.3	STM3218	oat
NP_462133.1	STM3219	fadH
NP_462134.1	STM3220	ygjO
NP_462135.1	STM3221	ygjP
NP_462136.1	STM3222	ygjQ
NP_462137.1	STM3223	ygjR
NP_462138.1	STM3224	ygjT
NP_462139.1	STM3225	ygjU
NP_462140.1	STM3226	yqjA
NP_462141.1	STM3227	yqjB
NP_462142.1	STM3228	yqjC
NP_462143.1	STM3229	yqjD
NP_462144.1	STM3230	yqjE
NP_462145.1	STM3231	yqjK
NP_462146.1	STM3232	yqjF
NP_462147.1	STM3233	yqjG
NP_462148.1	STM3234	yhaH
NP_462149.1	STM3235	yhaJ
NP_462150.1	STM3236	yhaK
NP_462151.1	STM3237	yhaL
NP_462152.1	STM3238	yhaN
NP_462153.1	STM3239	yhaO
NP_462154.1	STM3240	tdcG
NP_462155.1	STM3241	tdcE
NP_462156.1	STM3242	tdcD
NP_462157.1	STM3243	tdcC
NP_462158.1	STM3244	tdcB
NP_462159.1	STM3245	tdcA
NP_462160.1	STM3247	garK
NP_462161.1	STM3248	garR
NP_462162.1	STM3249	garL
NP_462163.1	STM3250	garD
NP_462164.1	STM3251	NODATA
NP_462165.1	STM3252	agaR
NP_462166.1	STM3253	NODATA
NP_462167.1	STM3254	NODATA
NP_462168.1	STM3255	NODATA
NP_462169.1	STM3256	NODATA
NP_462170.1	STM3257	NODATA
NP_462171.1	STM3258	NODATA
NP_462172.1	STM3259	NODATA
NP_462173.1	STM3260	NODATA
NP_462174.1	STM3261	NODATA
NP_462175.1	STM3262	NODATA
NP_462176.1	STM3263	yraL
NP_462177.1	STM3264	yraM
NP_462178.1	STM3265	yraN
NP_462179.1	STM3266	yraO
NP_462180.1	STM3267	yraP
NP_462181.1	STM3268	yraR
NP_462182.1	STM3269	yhbO
NP_462183.1	STM3270	yhbP
NP_462184.3	STM3271	yhbQ
NP_462185.1	STM3272	yhbS
NP_462186.1	STM3273	yhbT
NP_462187.1	STM3274	yhbU
NP_462188.3	STM3275	yhbV
NP_462189.1	STM3276	yhbW
NP_462190.1	STM3277	NODATA
NP_462191.1	STM3278	NODATA
NP_462192.1	STM3279	mtr
NP_462193.3	STM3280	deaD
NP_462194.1	STM3281	nlpI
NP_462195.1	STM3282	pnp
NP_462196.1	STM3283	rpsO
NP_462197.1	STM3284	truB
NP_462198.1	STM3285	rbfA
NP_462199.1	STM3286	infB
NP_462200.1	STM3287	nusA
NP_462201.3	STM3288	yhbC
NP_462202.3	STM3290	argG
NP_462203.1	STM3291	NODATA
NP_462204.1	STM3293	secG
NP_462205.1	STM3294	mrsA
